=== kubectl get events -n devops-app --sort-by=.metadata.creationTimestamp ===
LAST SEEN   TYPE      REASON                         OBJECT                                      MESSAGE
45m         Normal    EnsuringLoadBalancer           service/frontend-service                    Ensuring load balancer
45m         Normal    ScalingReplicaSet              deployment/worker-deployment                Scaled up replica set worker-deployment-7c8776696d from 0 to 1
45m         Normal    ScalingReplicaSet              deployment/frontend-deployment              Scaled up replica set frontend-deployment-54cddf9b6 from 0 to 2
45m         Normal    NoPods                         poddisruptionbudget/backend-pdb             No matching pods found
45m         Normal    ScalingReplicaSet              deployment/backend-deployment               Scaled up replica set backend-deployment-6f4d55f575 from 0 to 2
45m         Normal    NoPods                         poddisruptionbudget/frontend-pdb            No matching pods found
45m         Normal    Issuing                        certificate/frontend-tls-cert               Issuing certificate as Secret does not exist
45m         Warning   FailedMount                    pod/frontend-deployment-54cddf9b6-v9vn4     MountVolume.SetUp failed for volume "tls-cert" : secret "frontend-tls-cert" not found
45m         Warning   UpdateFailed                   externalsecret/app-secrets                  error processing spec.data[0] (key: devops-app/db-password), err: SecretStore "aws-secretsmanager" is not ready
45m         Normal    WaitingForApproval             certificaterequest/frontend-tls-cert-1      Not signing CertificateRequest until it is Approved
45m         Normal    WaitingForApproval             certificaterequest/frontend-tls-cert-1      Not signing CertificateRequest until it is Approved
45m         Normal    WaitingForApproval             certificaterequest/frontend-tls-cert-1      Not signing CertificateRequest until it is Approved
45m         Normal    WaitingForApproval             certificaterequest/frontend-tls-cert-1      Not signing CertificateRequest until it is Approved
45m         Normal    WaitingForApproval             certificaterequest/frontend-tls-cert-1      Not signing CertificateRequest until it is Approved
45m         Normal    SuccessfulCreate               replicaset/frontend-deployment-54cddf9b6    Created pod: frontend-deployment-54cddf9b6-v9vn4
45m         Normal    CertificateIssued              certificaterequest/frontend-tls-cert-1      Certificate fetched from issuer successfully
45m         Normal    Generated                      certificate/frontend-tls-cert               Stored new private key in temporary Secret resource "frontend-tls-cert-rbmjj"
45m         Normal    Requested                      certificate/frontend-tls-cert               Created new CertificateRequest resource "frontend-tls-cert-1"
45m         Normal    Issuing                        certificate/frontend-tls-cert               The certificate has been successfully issued
45m         Normal    Scheduled                      pod/backend-deployment-6f4d55f575-8gc4d     Successfully assigned devops-app/backend-deployment-6f4d55f575-8gc4d to ip-10-0-3-158.ec2.internal
45m         Normal    SuccessfulCreate               replicaset/worker-deployment-7c8776696d     Created pod: worker-deployment-7c8776696d-96dlm
